vintage,as_of,source_id,document,page,scope,utility,tier_or_item,value_mw,unit,notes
2025 IEPR final tiers,2025-12,cec_assembly_hearing_2026_01_28,CEC deck to Assembly joint oversight hearing on Energy Impacts of AI (Jan 28 2026),7,statewide,all reporting utilities,Signed Agreements,5086,MW,"Slide 'Data Center Capacity Requests', source: CEC with data from each utility as of December 2025"
2025 IEPR final tiers,2025-12,cec_assembly_hearing_2026_01_28,CEC deck to Assembly joint oversight hearing on Energy Impacts of AI (Jan 28 2026),7,statewide,all reporting utilities,Active Applications,9587,MW,same slide
2025 IEPR final tiers,2025-12,cec_assembly_hearing_2026_01_28,CEC deck to Assembly joint oversight hearing on Energy Impacts of AI (Jan 28 2026),7,statewide,all reporting utilities,Inquiries,8604,MW,same slide
2025 IEPR final tiers,2025-12,cec_assembly_hearing_2026_01_28,CEC deck to Assembly joint oversight hearing on Energy Impacts of AI (Jan 28 2026),7,statewide,all reporting utilities,Total of three tiers,23277,MW,computed sum of the three slide values
2025 IEPR preliminary,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),6,utility,PG&E,Capacity requested (all tiers),11668,MW,"Slide '2025 Capacity Requested', bar labels; tier split shown graphically only"
2025 IEPR preliminary,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),6,utility,SVP,Capacity requested (all tiers),1375,MW,same slide
2025 IEPR preliminary,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),6,utility,Palo Alto,Capacity requested (all tiers),85,MW,same slide
2025 IEPR preliminary,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),6,utility,SCE,Capacity requested (all tiers),5828,MW,same slide
2025 IEPR preliminary,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),6,utility,SDG&E,Capacity requested (all tiers),100,MW,same slide
2025 IEPR preliminary,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),6,utility,Burbank,Capacity requested (all tiers),100,MW,same slide
2025 IEPR preliminary,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),6,utility,VEA,Capacity requested (all tiers),2600,MW,same slide
2024 IEPR vs 2025 IEPR,2024-12,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),7,utility,PG&E,Agreements plus applications (excludes inquiries),5808,MW,"Slide 'PG&E and SCE Capacity Requests: 2024 and 2025', December 2024 data"
2024 IEPR vs 2025 IEPR,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),7,utility,PG&E,Agreements plus applications (excludes inquiries),10080,MW,summer 2025 data
2024 IEPR vs 2025 IEPR,2024-12,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),7,utility,SCE,Agreements plus applications (excludes inquiries),963,MW,December 2024 data
2024 IEPR vs 2025 IEPR,2025-summer,cec_prelim_dc_forecast_2025,2025 IEPR Preliminary Data Center Forecast (Oct 30 2025 workshop deck),7,utility,SCE,Agreements plus applications (excludes inquiries),143,MW,"summer 2025 data; SCE's public database (TN 266008, 268459) gives the project-level detail"
2025 IEPR weighted forecast,2025-12,cec_tn272026,"CEC Data Center Demand Forecast deck (Aug 20 2026 workshop, docket 26-IEPR-03)",6,statewide,all,Planning (mid) scenario max demand: first and last chart labels,"413; 4855",MW,"Chart 'Data Center Demand Growth (2025 IEPR)', x-axis 2025-2040; verify which years the two labels attach to by viewing the slide"
2025 IEPR weighted forecast,2025-12,cec_tn272026,"CEC Data Center Demand Forecast deck (Aug 20 2026 workshop, docket 26-IEPR-03)",6,statewide,all,Local Reliability (high) scenario max demand: first and last chart labels,"684; 7381",MW,same chart; same caveat
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),7,utility,PG&E,2025-energization known-load projects: Completed,70,MW,"Status of 2025 IEPR known loads with expected energization in 2025; preliminary"
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),7,utility,PG&E,2025-energization known-load projects: Ongoing,1540,MW,preliminary
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),7,utility,PG&E,2025-energization known-load projects: No match,290,MW,preliminary
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),7,utility,PG&E,2025-energization known-load projects: Total,1900,MW,preliminary
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),8,utility,SCE,2025-energization known-load projects: Completed,77,MW,preliminary
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),8,utility,SCE,2025-energization known-load projects: Ongoing,706,MW,preliminary
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),8,utility,SCE,2025-energization known-load projects: No match,121,MW,preliminary
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),8,utility,SCE,2025-energization known-load projects: Cancelled,46,MW,preliminary
2025 IEPR known loads status,2026-06,cec_tn272023,CEC Known Loads Preliminary Analysis deck (Aug 20 2026 workshop),8,utility,SCE,2025-energization known-load projects: Total,950,MW,preliminary
